#id sdkAdded compatAdded codepoints
F0395 20 1 1F1E7 1F1EF
F0396 20 1 1F1E7 1F1F2
F0397 20 1 1F1E7 1F1F3
F0398 20 1 1F1E7 1F1F4
F0399 20 1 1F1E7 1F1F7
F039A 20 1 1F1E7 1F1F8
F039B 20 1 1F1E7 1F1F9
F039C 20 1 1F1E7 1F1FC
F039D 20 1 1F1E7 1F1FE
F039E 20 1 1F1E7 1F1FF
F039F 20 1 1F1E8 1F1E6
F03A0 20 1 1F1E8 1F1E8
F03A1 20 1 1F1E8 1F1E9
F03A2 20 1 1F1E8 1F1EB
F03A3 20 1 1F1E8 1F1EC
F03A4 20 1 1F1E8 1F1ED
F03A5 20 1 1F1E8 1F1EE
F03A6 20 1 1F1E8 1F1F0
F03A7 20 1 1F1E8 1F1F1
F03A8 20 1 1F1E8 1F1F2
F03A9 20 1 1F1E8 1F1F3
F03AA 20 1 1F1E8 1F1F4
F03AB 20 1 1F1E8 1F1F7
F03AC 20 1 1F1E8 1F1FA
F03AD 20 1 1F1E8 1F1FB
F03AE 20 1 1F1E8 1F1FC
F03AF 20 1 1F1E8 1F1FD
F03B0 20 1 1F1E8 1F1FE
F03B1 20 1 1F1E8 1F1FF
F03B2 20 1 1F1E9 1F1EA
F03B3 20 1 1F1E9 1F1EF
F03B4 20 1 1F1E9 1F1F0
F03B5 20 1 1F1E9 1F1F2
F03B6 20 1 1F1E9 1F1F4
F03B7 20 1 1F1E9 1F1FF
F03B8 20 1 1F1EA 1F1E8
F03B9 20 1 1F1EA 1F1EA
F03BA 20 1 1F1EA 1F1EC
F03BB 20 1 1F1EA 1F1F7
F03BC 20 1 1F1EA 1F1F8
F03BD 20 1 1F1EA 1F1F9
F03BE 20 1 1F1EA 1F1FA
F03BF 20 1 1F1EB 1F1EE
F03C0 20 1 1F1EB 1F1EF
F03C1 20 1 1F1EB 1F1F2
F03C2 20 1 1F1EB 1F1F4
F03C3 20 1 1F1EB 1F1F7
F03C4 20 1 1F1EC 1F1E6
F03C5 20 1 1F1EC 1F1E7
F03C6 20 1 1F1EC 1F1E9
F03C7 20 1 1F1EC 1F1EA
F03C8 20 1 1F1EC 1F1EC
F03C9 20 1 1F1EC 1F1ED
F03CA 20 1 1F1EC 1F1EE
F03CB 20 1 1F1EC 1F1F1
F03CC 20 1 1F1EC 1F1F2
F03CD 20 1 1F1EC 1F1F3
F03CE 20 1 1F1EC 1F1F6
F03CF 20 1 1F1EC 1F1F7
F03D0 20 1 1F1EC 1F1F9
F03D1 20 1 1F1EC 1F1FA
F03D2 20 1 1F1EC 1F1FC
F03D3 20 1 1F1EC 1F1FE
F03D4 20 1 1F1ED 1F1F0
F03D5 20 1 1F1ED 1F1F3
F03D6 20 1 1F1ED 1F1F7
F03D7 20 1 1F1ED 1F1F9
F03D8 20 1 1F1ED 1F1FA
F03D9 20 1 1F1EE 1F1E9
F03DA 20 1 1F1EE 1F1EA
F03DB 20 1 1F1EE 1F1F1
F03DC 20 1 1F1EE 1F1F2
F03DD 20 1 1F1EE 1F1F3
F03DE 20 1 1F1EE 1F1F4
F03DF 20 1 1F1EE 1F1F6
F03E0 20 1 1F1EE 1F1F7
F03E1 20 1 1F1EE 1F1F8
F03E2 20 1 1F1EE 1F1F9
F03E3 20 1 1F1EF 1F1EA
F03E4 20 1 1F1EF 1F1F2
F03E5 20 1 1F1EF 1F1F4
F03E6 20 1 1F1EF 1F1F5
F03E7 20 1 1F1F0 1F1EA
F03E8 20 1 1F1F0 1F1EC
F03E9 20 1 1F1F0 1F1ED
F03EA 20 1 1F1F0 1F1EE
F03EB 20 1 1F1F0 1F1F2
F03EC 20 1 1F1F0 1F1F3
F03ED 20 1 1F1F0 1F1F5
F03EE 20 1 1F1F0 1F1F7
F03EF 20 1 1F1F0 1F1FC
F03F0 20 1 1F1F0 1F1FE
F03F1 20 1 1F1F0 1F1FF
F03F2 20 1 1F1F1 1F1E6
F03F3 20 1 1F1F1 1F1E7
F03F4 20 1 1F1F1 1F1E8
F03F5 20 1 1F1F1 1F1EE
F03F6 20 1 1F1F1 1F1F0
F03F7 20 1 1F1F1 1F1F7
F03F8 20 1 1F1F1 1F1F8
F03F9 20 1 1F1F1 1F1F9
F03FA 20 1 1F1F1 1F1FA
F03FB 20 1 1F1F1 1F1FB
F03FC 20 1 1F1F1 1F1FE
